Microsoft MSX || Antarctic Adventure (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Antarctic Adventure (Japan)/Antarctic Adventure (Japan).json
Microsoft MSX || Athletic Land (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Athletic Land (Japan)/Athletic Land (Japan).json
Microsoft MSX || Hyper Sports 2 (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Hyper Sports 2 (Japan)/Hyper Sports 2 (Japan).json
Microsoft MSX || Hyper Sports 3 (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Hyper Sports 3 (Japan)/Hyper Sports 3 (Japan).json
Microsoft MSX || Knightmare - Majou Densetsu (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Knightmare - Majou Densetsu (Japan)/Knightmare - Majou Densetsu (Japan).json
Microsoft MSX || Konami's Billiards (Europe) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Konami's Billiards (Europe)/Konami's Billiards (Europe).json
Microsoft MSX || Konami's Boxing (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Konami's Boxing (Japan)/Konami's Boxing (Japan).json
Microsoft MSX || Konami's Golf (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Konami's Golf (Japan)/Konami's Golf (Japan).json
Microsoft MSX || Konami's Ping-Pong (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Konami's Ping-Pong (Japan)/Konami's Ping-Pong (Japan).json
Microsoft MSX || Magical Tree (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Magical Tree (Japan)/Magical Tree (Japan).json
Microsoft MSX || Mopiranger (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Mopiranger (Japan)/Mopiranger (Japan).json
Microsoft MSX || Mugen Senshi Valis - The Fantasm Soldier (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Mugen Senshi Valis - The Fantasm Soldier (Japan)/Mugen Senshi Valis - The Fantasm Soldier (Japan).json
Microsoft MSX || Nemesis (Japan, Europe) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Nemesis (Japan, Europe)/Nemesis (Japan, Europe).json
Microsoft MSX || Nemesis 2 (Japan, Europe) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Nemesis 2 (Japan, Europe)/Nemesis 2 (Japan, Europe).json
Microsoft MSX || Nemesis 3 - The Eve of Destruction (Japan, Europe) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Nemesis 3 - The Eve of Destruction (Japan, Europe)/Nemesis 3 - The Eve of Destruction (Japan, Europe).json
Microsoft MSX || Road Fighter (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Road Fighter (Japan)/Road Fighter (Japan).json
Microsoft MSX || Sky Jaguar (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Sky Jaguar (Japan)/Sky Jaguar (Japan).json
Microsoft MSX || Super Cobra (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Super Cobra (Japan)/Super Cobra (Japan).json
Microsoft MSX || Twin Bee (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Twin Bee (Japan)/Twin Bee (Japan).json
Microsoft MSX || Yie Ar Kung-Fu (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Yie Ar Kung-Fu (Japan)/Yie Ar Kung-Fu (Japan).json
Microsoft MSX || Yie Ar Kung-Fu II - The Emperor Yie-Gah (Japan) || $ROM_JSON_ROOT/Microsoft/Microsoft MSX/Yie Ar Kung-Fu II - The Emperor Yie-Gah (Japan)/Yie Ar Kung-Fu II - The Emperor Yie-Gah (Japan).json
